"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","pH_m","pH_SD","eH","Conductivity..ms.cm.","u_sal"
"246",-0.0135787208174951,-109.824105,35.792645,2031.5,1,0,0,0,1,0,0,NA,NA,NA,NA,500
"247",0.694314763975208,-109.72477,35.824605,1891.5,1,0,0,0,0,0,0,NA,NA,NA,NA,500
"243",1.14965521440674,-109.75958,35.7385266666667,2010.3,1,0,0,0,1,0,0,8.34,1.61455876325391,NA,1575,500
"249",1.48797066508058,-109.36777,36.84391,1727.1,0,1,0,0,0,0,0,7,NA,2.08,NA,2000
"251",0.902679675431127,-109.39118,36.79372,1661.7,0,1,0,0,0,0,0,6.15,NA,219.8,NA,2000
"252",0.980664737338589,-109.45024,36.85805,1609.8,0,1,0,0,1,0,1,9.08,NA,166.9,NA,2000
"253",0.469703460461232,-109.32213,36.94767,1645.5,0,1,0,0,0,0,0,7.18,NA,218.6,NA,2000
"254",1.24216444051895,-109.31014,36.86407,1785.2,0,1,0,0,1,0,0,5.52,NA,232.4,NA,2000
"255",-0.148809827491407,-109.95871,36.06058,1969.3,1,0,0,0,1,0,0,7,NA,NA,NA,500
"257",-0.347778737834355,-109.97828,36.14011,1955.7,0,0,0,0,1,0,0,8,NA,NA,NA,0
"258",0.976581815310836,-109.89234,36.22978,2030.9,0,0,0,0,0,1,4,7,NA,NA,NA,0
"259",-0.468551940043573,-109.94626,36.17143,1980.6,0,0,0,0,1,0,0,7.5,NA,NA,NA,0
"260",-0.436542242958644,-110.01521,36.11048,1966.3,1,0,0,0,0,0,0,7.5,NA,NA,NA,500
"261",1.84552242363797,-109.88193,36.21707,2129.3,0,0,0,0,0,1,3,7.5,NA,NA,NA,0
"262",2.32418405225422,-109.89097,36.24472,2110.1,0,0,0,0,0,2,3,6,NA,NA,NA,0
"263",2.18139010110645,-109.8315,36.29465,2181.1,0,1,0,0,0,0,1,7.5,NA,NA,NA,2000
"264",-0.212545025168948,-109.18102,36.92348,1675.9,0,0,0,0,1,0,0,6.5,NA,NA,NA,0
"267",-0.292735883130642,-108.98124,36.90072,1547.5,0,0,0,0,0,0,0,8.5,NA,NA,NA,0
"268",0.206009913460124,-109.00701,36.89295,1566.8,0,0,0,0,0,0,0,8,NA,NA,NA,0
"269",0.484469458315638,-109.03667,36.88016,1690.1,0,0,0,0,0,0,0,8,NA,NA,NA,0
"270",-0.478996286334186,-109.084365,36.919399,1594.8,0,0,0,0,1,0,0,NA,NA,NA,NA,0
"273",0.0713571661288598,-110.37825,35.468075,1838.2,0,1,0,0,0,0,1,7,NA,NA,NA,2000
"276",-1.32790214206428,-110.40431,35.49574,1764.3,0,1,0,0,0,0,0,6.5,NA,NA,NA,2000
"277",0.437900885957887,-110.44502,35.4966,1707.9,0,1,0,0,0,0,0,6.7,NA,NA,NA,2000
"272",0.972549743626608,-110.36828,35.45451,1885.5,0,1,0,0,0,1,1,6.5,NA,NA,NA,2000
"274",0.970592152383199,-110.372703333333,35.4721766666667,1840.2,0,1,0,0,0,0,1,6.5,NA,NA,NA,2000
"271",0.571498612795681,-110.3643225,35.45124,1916.2,0,1,0,0,0,1,1,7.35666666666667,1.27304097865439,NA,484.6,2000
"279",0.168904559681304,-111.01481,36.27349,1713.1,1,0,0,0,0,0,0,6,NA,NA,NA,500
"280",0.281507085679045,-110.98678,36.32453,1744.2,1,0,0,0,0,0,0,5.5,NA,NA,NA,500
"281",-0.243261525838783,-111.00516,36.35877,1790.5,1,0,0,0,0,0,0,6,NA,NA,NA,500
"282",-0.00480021265343695,-110.85694,36.44528,1786.5,1,0,0,0,0,0,0,5.5,NA,NA,NA,500
"283",-0.0560632204838776,-110.83167,36.48694,1837.5,0,0,0,0,0,0,0,5,NA,NA,NA,0
"284",-0.219218562373967,-109.24344,36.22831,2205.3,1,0,0,1,0,0,0,7,NA,NA,NA,500
"285",-0.438022214438126,-109.13434,36.18026,2193.3,1,0,0,1,0,0,0,7.5,NA,NA,NA,500
"286",0.118981191851693,-109.12542,36.28572,2324.7,1,0,0,1,0,0,0,7,NA,NA,NA,500
"287",0.336976256056878,-109.34316,36.28871,2070.1,1,0,0,1,0,0,0,7.5,NA,NA,NA,500
"291",1.23450243001721,-109.88853,36.07494,1843.9,1,0,0,0,1,0,0,7,NA,NA,NA,500
"292",0.590073448035802,-111.22917,36.11855,1467.9,0,0,0,0,0,0,0,6.8,NA,NA,NA,0
"293",-0.404178870756476,-111.25611,36.12748,1516.6,0,0,0,0,0,0,0,6.5,NA,NA,NA,0
"294",-0.259258926125744,-111.24407,36.13963,1532.2,0,0,0,0,0,0,0,6.5,NA,NA,NA,0
"295",0.0298510932078765,-111.21802,36.18576,1592,0,0,0,0,0,0,0,6.5,NA,NA,NA,0
"296",-0.221823507161255,-111.20991,36.14631,1497.2,0,0,0,0,0,0,0,6.8,NA,NA,NA,0
"299",0.629391513418766,-111.2907,36.18995,1615.6,0,0,0,0,0,0,0,6.2,NA,NA,NA,0
"300",0.554474709153627,-111.03036,36.24172,1713.5,1,0,0,0,0,0,0,6,NA,NA,NA,500
"302",0.483822749742195,-111.33595,36.13815,1454.6,0,0,0,0,0,0,0,7,NA,NA,NA,0
"297",-0.0560221918480166,-111.030385,36.241635,1713.4,1,0,0,0,0,0,0,6.15,0.212132034355964,NA,NA,500
"298",0.716183760696771,-111.103525,36.1845,1565.8,1,0,0,0,0,0,0,6.5,0.707106781186548,NA,NA,500
"306",-0.256690468126675,-110.03743,36.05083,1891.2,1,0,0,0,0,0,0,NA,NA,NA,NA,500
"309",1.01536005526825,-110.03728,35.59332,1889.9,1,0,0,0,0,0,1,8.29,NA,NA,492.1,500
"311",-0.170724431357754,-110.02543,35.61271,1848.6,1,0,0,0,0,0,0,9.01,NA,NA,4.397,500
"312",-0.0272645364041279,-109.96156,35.53105,1823,1,0,0,0,0,0,1,9.19,NA,NA,1985,500
"157",-0.31703759702583,-111.19673,36.58181,1767.6,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"86",-0.68918629180239,-110.34753,36.36446,2068.7,1,0,0,0,0,0,0,NA,NA,NA,NA,500
"87",-0.497161243681625,-110.348735,36.29457,1995.8,1,0,0,0,0,0,0,NA,NA,NA,NA,500
