"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2"
"207",-0.259258926125744,-111.24407,36.13963,1532.2,0,0,0,0,0,0,0
"208",0.0298510932078765,-111.21802,36.18576,1592,0,0,0,0,0,0,0
"209",-0.221823507161255,-111.20991,36.14631,1497.2,0,0,0,0,0,0,0
"210",0.629391513418766,-111.2907,36.18995,1615.6,0,0,0,0,0,0,0
"211",0.554474709153627,-111.03036,36.24172,1713.5,1,0,0,0,0,0,0
"212",0.483822749742195,-111.33595,36.13815,1454.6,0,0,0,0,0,0,0
"213",-0.0560221918480166,-111.030385,36.241635,1713.4,1,0,0,0,0,0,0
"214",0.716183760696771,-111.103525,36.1845,1565.8,1,0,0,0,0,0,0
"215",-0.256690468126675,-110.03743,36.05083,1891.2,1,0,0,0,0,0,0
"216",1.01536005526825,-110.03728,35.59332,1889.9,1,0,0,0,0,0,1
"217",-0.170724431357754,-110.02543,35.61271,1848.6,1,0,0,0,0,0,0
"218",-0.0272645364041279,-109.96156,35.53105,1823,1,0,0,0,0,0,1
"220",-0.31703759702583,-111.19673,36.58181,1767.6,0,0,0,0,0,0,0
"221",-0.68918629180239,-110.34753,36.36446,2068.7,1,0,0,0,0,0,0
"223",-0.497161243681625,-110.348735,36.29457,1995.8,1,0,0,0,0,0,0
