"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","waters.rad"
"169",-0.468551940043573,-109.94626,36.17143,1980.6,0,0,0,0,1,0,0,1.14822639780018
"170",-0.436542242958644,-110.01521,36.11048,1966.3,1,0,0,0,0,0,0,3.17445042275174
"171",1.84552242363797,-109.88193,36.21707,2129.3,0,0,0,0,0,1,3,1.32818672334859
"172",2.32418405225422,-109.89097,36.24472,2110.1,0,0,0,0,0,2,3,2.4
"173",2.18139010110645,-109.8315,36.29465,2181.1,0,1,0,0,0,0,1,2.27564543889844
"174",-0.212545025168948,-109.18102,36.92348,1675.9,0,0,0,0,1,0,0,2
"175",-0.292735883130642,-108.98124,36.90072,1547.5,0,0,0,0,0,0,0,9.1
"176",0.206009913460124,-109.00701,36.89295,1566.8,0,0,0,0,0,0,0,2.5
"177",0.484469458315638,-109.03667,36.88016,1690.1,0,0,0,0,0,0,0,2.29381640586066
"178",-0.478996286334186,-109.084365,36.919399,1594.8,0,0,0,0,1,0,0,3.62421739130433
"179",0.0713571661288598,-110.37825,35.468075,1838.2,0,1,0,0,0,0,1,1.6479158004158
"180",-1.32790214206428,-110.40431,35.49574,1764.3,0,1,0,0,0,0,0,2.5
"181",0.437900885957887,-110.44502,35.4966,1707.9,0,1,0,0,0,0,0,1.27449131513648
"182",0.972549743626608,-110.36828,35.45451,1885.5,0,1,0,0,0,1,1,3.83956429705416
"183",0.970592152383199,-110.372703333333,35.4721766666667,1840.2,0,1,0,0,0,0,1,1.57938443072701
"184",0.571498612795681,-110.3643225,35.45124,1916.2,0,1,0,0,0,1,1,1.62657894736842
"185",0.168904559681304,-111.01481,36.27349,1713.1,1,0,0,0,0,0,0,1.03911051212936
"186",0.281507085679045,-110.98678,36.32453,1744.2,1,0,0,0,0,0,0,0.536724528301864
"187",-0.243261525838783,-111.00516,36.35877,1790.5,1,0,0,0,0,0,0,0.922620922384702
"188",-0.00480021265343695,-110.85694,36.44528,1786.5,1,0,0,0,0,0,0,2.8238259175057
"189",-0.0560632204838776,-110.83167,36.48694,1837.5,0,0,0,0,0,0,0,0.361553926701597
"190",-0.219218562373967,-109.24344,36.22831,2205.3,1,0,0,1,0,0,0,3.90548143279658
"191",-0.438022214438126,-109.13434,36.18026,2193.3,1,0,0,1,0,0,0,2.69115604731019
"192",0.118981191851693,-109.12542,36.28572,2324.7,1,0,0,1,0,0,0,4.46463967055597
"193",0.336976256056878,-109.34316,36.28871,2070.1,1,0,0,1,0,0,0,3.6151471150172
"194",1.23450243001721,-109.88853,36.07494,1843.9,1,0,0,0,1,0,0,1.96325714285714
"195",0.590073448035802,-111.22917,36.11855,1467.9,0,0,0,0,0,0,0,1.56347953216373
"196",-0.404178870756476,-111.25611,36.12748,1516.6,0,0,0,0,0,0,0,1.9894910005806
"197",-0.259258926125744,-111.24407,36.13963,1532.2,0,0,0,0,0,0,0,2.4
"198",0.0298510932078765,-111.21802,36.18576,1592,0,0,0,0,0,0,0,0.593889855072464
"199",-0.221823507161255,-111.20991,36.14631,1497.2,0,0,0,0,0,0,0,2.23474323578133
"200",0.629391513418766,-111.2907,36.18995,1615.6,0,0,0,0,0,0,0,1.85025668738178
"201",0.554474709153627,-111.03036,36.24172,1713.5,1,0,0,0,0,0,0,1.33383390216154
"202",0.483822749742195,-111.33595,36.13815,1454.6,0,0,0,0,0,0,0,3.23288822947573
"203",-0.0560221918480166,-111.030385,36.241635,1713.4,1,0,0,0,0,0,0,1.33347933257489
"204",0.716183760696771,-111.103525,36.1845,1565.8,1,0,0,0,0,0,0,1.67570728027159
"205",-0.256690468126675,-110.03743,36.05083,1891.2,1,0,0,0,0,0,0,4.24349438750608
"206",1.01536005526825,-110.03728,35.59332,1889.9,1,0,0,0,0,0,1,1.9329018552613
"207",-0.170724431357754,-110.02543,35.61271,1848.6,1,0,0,0,0,0,0,2.22939626502942
"208",-0.0272645364041279,-109.96156,35.53105,1823,1,0,0,0,0,0,1,2.70303007174477
"209",-0.31703759702583,-111.19673,36.58181,1767.6,0,0,0,0,0,0,0,0.667978154775737
"210",-0.68918629180239,-110.34753,36.36446,2068.7,1,0,0,0,0,0,0,2.81387607417458
"211",-0.497161243681625,-110.348735,36.29457,1995.8,1,0,0,0,0,0,0,2.18325593395253
