"","latitude","longitude","altitude..m.","mine.rad"
"4030",35.3409,-108.0262,2130.2,1.8
"4031",35.4134,-108.0078,2261.4,1.3175934366454
"4032",35.1242,-108.6754,2016.2,2.8
"4033",35.3323,-108.524,2343.9,0.5
"4034",35.617,-108.1148,2141.1,1.7
"4035",35.5331,-108.582,2068.6,2.6
"4043",36.6997,-108.9051,1646.3,2.59966480446931
"4044",36.3797,-109.0129,2405.5,4.03868005738879
"4045",36.5831,-109.0334,1837.9,2.18844270323212
"4046",36.5833,-109.0507,1801.1,2.38278775079198
"4047",36.6833,-109.0507,1681.1,2.5587821189722
"4048",36.6831,-109.042,1689.7,2.37054794520545
"4049",36.7847,-108.6831,1493.8,2.4247889485802
"4050",36.7847,-108.6831,1493.8,2.4247889485802
"4051",36.775,-108.7006,1507.1,3
"4052",36.3914,-109.0159,2148.5,5.20636833046467
"4053",36.7972,-109.0168,1736.3,2.17736720554275
"4054",36.8244,-109.0384,1778.1,2.04874141876429
"4055",36.3647,-109.039,2659.8,3.35505720823798
"4056",36.7064,-108.922,1631.2,2.5005359056806
"4057",36.3733,-109.0165,2430.8,2.15895465026902
"4058",36.7519,-109.0068,1700.9,3.0623784592371
"4059",36.4006,-109.0157,2260.5,2.90499428135725
"4060",36.6989,-109.0115,1700.4,3.14932393829747
"4061",36.4094,-109.0157,2196.4,2.8546702249333
"4062",36.7903,-109.0304,1794.5,2.28253877082137
"4063",36.4006,-109.0157,2260.5,2.90499428135725
"4064",36.3914,-109.0159,2148.5,5.20636833046467
"4065",36.5619,-109.014,1905.5,3.75526182003052
"4066",36.8058,-109.0054,1673.8,1.99511510387423
"4067",36.7342,-109.0295,1724.2,2.55750577367202
"4068",36.4097,-109.0268,2282.4,2.18079965326688
"4069",36.4094,-109.0157,2196.4,2.8546702249333
"4071",36.6981,-109.0193,1663.1,2.45494880546077
"4072",36.4547,-109.0257,2415.5,3.97478583666476
"4073",36.7253,-109.0298,1666,3.3
"4074",36.515,-108.7229,1677.1,1.62624048003693
"4075",36.7083,-109.034,1699.7,1.88956916099773
"4076",36.7739,-108.9068,1629.3,2.10983687592686
"4077",36.5056,-109.0257,2144.4,3.96025128498001
"4078",36.8153,-109.0162,1671.2,2.1
"4079",36.5056,-109.0257,2144.4,3.96025128498001
"4080",36.7519,-109.0068,1700.9,3.0623784592371
"4081",36.7158,-109.0087,1653.7,2.1630303030303
"4082",36.7061,-109.0034,1683.1,2.90907550367163
"4083",36.5367,-108.6645,1639.1,1.31964285714285
"4084",36.485,-108.6856,1673.3,1.24120381129447
"4086",36.4828,-108.6873,1678.7,3.10092646207297
"4087",36.4833,-108.6865,1678.3,1.95085583200988
"4088",36.8336,-109.027,1736.8,2.47638036809811
"4089",36.7339,-109.0073,1787,2.85423556346985
"4090",36.77,-109.0176,1704.9,2.21926182237609
"4091",36.8244,-109.0384,1778.1,2.04874141876429
"4092",36.8422,-109.0157,1695,2.90470003821167
"4097",37.0073,-110.3453,1549.5,0.7
"4098",37.0303,-110.2679,1742.4,1.7
"4099",37.0027,-110.2875,1620,1.6
"4100",36.9929,-110.2886,1640.2,0.6
"4101",36.9706,-110.2889,1585.3,2.30385542168672
"4102",36.9468,-110.2934,1551.5,2.3
"4103",36.9439,-110.2814,1573.1,3.8
"4104",36.9527,-110.2461,1635.2,8.4
"4105",36.929,-110.2578,1587.6,1.73040162684291
"4106",36.9131,-110.2545,1593,2
"4107",36.9002,-110.2365,1613.4,2.1
"4108",36.9849,-110.2208,1594,1.2
"4109",37.0105,-110.2323,1775.6,2.5
"4110",37.013,-110.2222,1743.3,3.4
"4111",37.0144,-110.2126,1641.3,1.4
"4112",36.9506,-110.0971,1691.7,3.1
"4113",36.8781,-110.054,1795.6,2.65902140672779
"4114",36.9471,-110.3917,1660.5,2.9
"4115",36.9191,-109.8939,1576.3,2.6
"4116",36.9323,-109.89,1583.9,1.6
"4117",36.9901,-109.8498,1475.3,1.7
"4118",37.0007,-109.8437,1495.4,2.4
"4119",36.9503,-109.7776,1606.3,2.9
"4120",36.9532,-110.5203,1616.7,2.42836185819071
"4121",36.7276,-109.0381,1750.4,6.54691358024681
"4122",36.717,-109.0336,1739.1,4.67759503909409
"4123",36.7004,-109.0388,1689.7,1.9
"4124",36.6966,-109.0382,1720.2,2.70813214739518
"4125",36.7195,-109.0359,1727.2,2.8
"4126",36.7186,-109.0256,1716.3,1.5
"4127",36.7167,-109.0256,1718.4,1.5
"4128",36.7157,-109.0369,1747,10.9741567912488
"4129",36.7089,-109.0207,1691.5,3.2
"4130",36.722,-109.038,1754.1,2.4
"4131",36.7087,-109.0335,1696.6,8.65541619156205
"4132",36.6878,-109.0387,1672.9,1.77938301771534
"4133",36.6832,-109.0382,1666,2.75240152477764
"4134",36.7427,-109.0423,1804.6,2.25816944024205
"4135",36.7413,-109.0417,1776.4,2.03687861271676
"4136",36.7408,-109.0412,1773,2.22752808988764
"4137",36.7403,-109.0408,1770.1,1.9
"4138",36.7395,-109.0404,1761.5,2.44642032332563
"4139",36.7168,-109.0354,1739.2,8.08897058823532
"4140",36.7006,-109.0119,1687.9,2.47802056555271
"4141",36.742,-109.0413,1792.5,2.51341463414634
